Years,Dates Redone,Month Number,Date,CHOLOLO,EAST_RESERVE,WEST_RESERVE,DOLDOL,Biomass.new
2008,Nov,11,2008-11-01,64.86721874999999,40.4774375,40.61348214285714,52.79703571428571,49.6887935267857
2008,Dec,12,2008-12-01,,,,,60.6393
2009,Jan,1,2009-01-01,49.40095833333333,35.23971875,29.064803571428573,37.922821428571424,37.90707552083333
2009,Feb,2,2009-02-01,60.84634374999999,28.097375000000003,34.50658928571428,28.67178571428571,38.030523437499994
2009,Mar,3,2009-03-01,44.604124999999996,17.4103125,21.607541666666666,22.413732142857146,26.50892782738095
2009,Apr,4,2009-04-01,35.98040625,15.558593749999998,18.9975,19.662607142857144,22.549776785714286
2009,May,5,2009-05-01,46.932,13.971406249999998,18.43316666666667,24.31835714285714,25.91373251488095
2009,Jun,6,2009-06-01,40.794875,13.283625,21.607541666666666,15.853357142857144,22.884849702380954
2009,Jul,7,2009-07-01,28.36190625,18.362624999999998,18.009916666666665,14.85569642857143,19.897536086309525
2009,Aug,8,2009-08-01,33.81125,12.3313125,17.516125000000002,13.948732142857141,19.401854910714285
2009,Sep,9,2009-09-01,21.219562500000002,12.38421875,13.777416666666667,14.523142857142856,15.476085193452382
2009,Oct,10,2009-10-01,34.2345,11.749343750000001,16.563812499999997,12.527821428571428,18.768869419642854
