Years,Dates Redone,Month Number,Date,CHOLOLO,EAST_RESERVE,WEST_RESERVE,DOLDOL,Biomass.new
1997,Oct,10,1997-10-01,62.69806249999999,39.609775,33.74070833333333,-,42.17
1997,Nov,11,1997-11-01,53.70399999999999,38.678625,24.288125,-,38.89025
1997,Dec,12,1997-12-01,75.3955625,71.05725,82.13229166666666,-,76.19503472222222
1998,Jan,1,1998-01-01,172.84887500000002,126.24905000000001,127.42004166666668,-,142.17265555555556
1998,Feb,2,1998-02-01,140.3644375,123.27571875,157.0828125,-,140.24098958333335
1998,Mar,3,1998-03-01,264.58831250000003,150.8822,144.42058333333333,-,186.63036527777777
1998,Apr,4,1998-04-01,132.5343125,125.06395,87.21129166666668,-,114.93651805555557
1998,May,5,1998-05-01,174.965125,131.624325,146.39575,-,150.99506666666665
1998,Jun,6,1998-06-01,203.746125,92.72765,105.62266666666666,-,134.03214722222222
1998,Jul,7,1998-07-01,262.4720625,198.19096875,173.55429166666667,-,211.40577430555558
1998,Aug,8,1998-08-01,273.794,126.03742499999998,139.34158333333332,-,179.7243361111111
1998,Sep,9,1998-09-01,216.866875,81.426875,89.82133333333333,-,129.37169444444444
1998,Oct,10,1998-10-01,136.1319375,49.005925000000005,68.65883333333333,-,84.59889861111111
1998,Nov,11,1998-11-01,126.1855625,43.20739999999999,55.11483333333333,-,74.83593194444445
1998,Dec,12,1998-12-01,110.84275,36.2661,49.54204166666667,-,65.55029722222223
1999,Jan,1,1999-01-01,61.110875,42.911125,31.187099999999997,-,45.06969999999999
1999,Feb,2,1999-02-01,72.64443750000001,51.24915,36.604699999999994,-,53.499429166666665
1999,Mar,3,1999-03-01,60.5818125,38.04375,89.257,-,62.627520833333335
1999,Apr,4,1999-04-01,172.21400000000003,77.65995,116.42965,-,122.1012
1999,May,5,1999-05-01,136.661,48.921274999999994,42.530199999999994,-,76.03749166666665
1999,Jun,6,1999-06-01,59.84112499999999,33.86415625,62.803875000000005,-,52.169718749999994
1999,Jul,7,1999-07-01,80.36875,33.98760416666667,50.191024999999996,29.790375,48.58443854166667
1999,Aug,8,1999-08-01,44.92156249999999,45.69752083333333,33.430324999999996,52.36370833333333,44.10327916666666
1999,Sep,9,1999-09-01,94.75925,30.460520833333334,70.1261,25.34625,55.17303020833333
1999,Oct,10,1999-10-01,27.9915625,30.002,26.615999999999996,29.43766666666667,28.511807291666667
1999,Nov,11,1999-11-01,55.50281249999999,23.51216666666667,34.0652,24.429208333333335,34.377346875
1999,Dec,12,1999-12-01,57.724875,47.0378125,42.403225,47.14362499999999,48.577384374999994
2000,Jan,1,2000-01-01,77.0885625,32.54149999999999,55.39699999999999,34.516666666666666,49.88593229166666
2000,Feb,2,2000-02-01,26.827624999999998,19.420749999999998,25.811825000000006,20.5846875,23.161221875000003
2000,Mar,3,2000-03-01,18.8916875,15.272900000000002,14.426400000000001,15.823125000000001,16.103528125
2000,Apr,4,2000-04-01,29.261312500000003,21.995520833333334,22.341175000000003,18.785875,23.095970833333336
2000,May,5,2000-05-01,32.329875,21.96025,23.949525,14.05958333333333,23.074808333333337
2000,Jun,6,2000-06-01,56.031875,15.999479166666669,21.833274999999997,15.329333333333333,27.298490625000003
2000,Jul,7,2000-07-01,20.902124999999998,14.05958333333333,14.976624999999999,13.9185,15.964208333333332
2000,Aug,8,2000-08-01,23.7590625,21.6428125,22.256525,14.623916666666666,20.57057916666667
2000,Sep,9,2000-09-01,34.446125,17.375041666666664,17.431475,14.130125,20.845691666666667
2000,Oct,10,2000-10-01,30.1078125,22.46815,18.57425,13.424708333333333,21.143730208333334
2000,Nov,11,2000-11-01,37.62049999999999,25.028812499999997,12.2255,32.400416666666665,26.818807291666666
2000,Dec,12,2000-12-01,42.5936875,29.578749999999996,29.621075,37.937937500000004,34.9328625
2001,Jan,1,2001-01-01,73.17349999999999,40.75960416666666,58.994625,41.006499999999996,53.48355729166666
2001,Feb,2,2001-02-01,68.2003125,35.57479166666666,41.260450000000006,25.698958333333334,42.683628125
2001,Mar,3,2001-03-01,48.5191875,28.450083333333335,41.937650000000005,30.072541666666666,37.244865625
2001,Apr,4,2001-04-01,30.107812499999998,37.23252083333333,32.3722,38.325916666666664,34.5096125
2001,May,5,2001-05-01,44.709937499999995,39.3135,48.62499999999999,28.308999999999997,40.239359375
2001,Jun,6,2001-06-01,47.2494375,22.03079166666667,30.975475,36.06858333333333,34.081071875
2001,Jul,7,2001-07-01,31.060125,21.113750000000003,35.080999999999996,25.134625,28.097375
2001,Aug,8,2001-08-01,40.794875,19.844,32.837775,26.785299999999996,30.0654875
2001,Sep,9,2001-09-01,29.367125,14.934299999999999,32.583825,26.150424999999995,25.75891875
